1000 56725
212 110 6
747 824 3
882 710 3
550 572 4
582 840 5
502 826 5
123 239 2
245 15 7
591 605 6
455 833 6
860 732 10
529 923 9
177 182 7
902 30 4
517 667 6
12 219 5
503 881 6
432 782 3
170 641 2
163 81 10
426 254 2
167 583 7
214 404 9
341 101 4
411 198 1
577 146 2
530 25 10
107 713 6
474 938 6
488 713 7
382 507 5
573 713 2
679 266 3
362 493 4
746 15 7
476 704 4
473 966 10
990 104 7
522 531 6
701 160 6
721 616 5
679 813 7
391 511 9
373 902 1
405 401 4
261 415 7
268 322 5
966 816 1
232 978 1
699 496 1
574 455 3
959 631 5
22 501 10
27 239 10
483 342 8
648 908 3
450 223 8
96 955 3
394 832 5
840 669 7
901 999 7
67 903 6
530 163 9
718 294 6
251 322 10
694 164 6
650 976 2
351 977 3
425 348 6
332 145 8
275 409 4
321 860 5
649 540 6
378 773 3
179 792 6
423 238 8
472 953 1
162 970 4
919 484 1
168 775 7
995 496 5
384 829 2
770 185 3
166 224 1
817 935 5
440 776 8
154 267 2
506 500 8
631 575 9
44 175 6
824 55 10
952 592 5
573 162 7
912 502 3
205 264 7
824 469 3
471 976 5
468 876 3
349 77 9
979 245 5
565 759 3
780 953 5
573 394 5
545 494 3
480 897 6
234 405 7
49 505 3
146 13 9
377 379 2
48 395 4
341 666 10
578 21 2
593 360 2
496 508 3
223 168 1
121 434 10
537 713 7
704 293 4
462 353 1
149 919 1
792 485 10
46 270 2
442 396 3
925 948 2
219 121 9
471 642 4
663 62 5
192 13 10
712 354 6
586 365 4
984 83 1
906 118 2
442 278 3
614 808 3
393 351 1
834 355 9
828 811 1
183 442 5
506 43 1
130 899 8
393 989 8
153 170 8
481 890 3
612 94 8
358 885 5
106 774 8
104 831 10
660 945 7
115 3 6
464 94 10
524 417 3
785 740 8
795 220 4
377 666 2
758 159 6
661 716 7
358 428 3
96 890 2
494 734 3
808 699 1
924 277 7
791 401 7
666 60 6
778 839 6
60 217 1
209 638 1
616 301 1
61 248 1
13 688 4
105 830 10
956 833 6
295 790 9
399 313 7
199 419 4
598 274 7
878 269 1
485 793 8
275 300 10
970 718 9
819 49 7
838 325 9
674 187 6
176 610 7
959 799 1
594 375 4
94 245 9
471 74 5
584 313 10
845 681 9
187 931 6
479 48 5
925 498 8
201 627 6
575 617 8
768 730 9
882 334 3
363 101 1
156 938 3
373 30 7
376 816 10
918 264 7
528 133 6
783 758 10
925 205 7
524 981 3
256 544 10
827 888 7
696 451 8
360 634 9
833 866 3
5 50 8
524 136 1
209 840 6
62 979 7
616 485 3
107 293 6
744 580 8
454 406 4
348 449 4
3 934 5
897 935 1
233 944 2
65 3 3
342 544 8
933 558 3
920 605 10
870 465 8
39 419 5
872 731 10
12 336 9
813 938 7
822 416 9
73 585 3
570 201 9
813 808 5
249 942 2
663 425 10
8 296 1
804 257 8
252 511 4
531 642 3
840 117 2
78 60 9
334 404 3
910 223 4
268 342 7
778 520 6
362 465 4
750 643 4
984 223 9
996 441 1
446 55 5
461 788 3
450 674 8
510 373 4
808 163 6
509 804 9
18 768 6
222 638 5
89 206 3
854 489 4
214 226 8
84 104 4
1000 219 5
276 22 5
205 718 1
876 551 8
930 611 3
650 285 9
377 144 7
880 414 8
62 273 2
826 217 10
207 122 3
124 961 8
102 894 2
673 912 2
1000 365 2
407 890 7
260 595 4
773 311 4
679 521 9
496 734 9
209 220 2
744 612 4
456 88 3
87 535 9
402 152 3
140 693 10
523 400 10
341 339 4
340 306 8
274 462 1
608 600 4
999 963 5
691 922 4
155 538 8
605 100 2
622 630 1
756 176 6
841 306 8
455 868 4
409 666 1
147 486 2
999 160 9
756 845 9
464 826 6
962 975 3
305 388 9
794 973 2
241 453 3
905 985 4
370 302 5
688 722 5
1000 371 3
52 527 7
774 614 3
544 418 9
597 392 4
213 132 4
418 28 3
494 420 9
523 659 3
195 524 6
290 677 8
845 88 6
820 109 8
70 656 10
647 301 7
16 648 5
138 218 7
6 980 6
518 544 7
376 265 3
650 981 1
122 622 10
147 577 5
817 275 8
80 452 6
319 165 6
837 574 7
901 596 3
138 811 9
520 490 8
528 28 1
38 709 3
45 728 9
599 630 10
149 712 7
103 542 10
522 834 9
109 911 4
855 139 2
475 604 5
737 868 2
694 73 7
713 757 6
91 503 2
473 192 8
194 455 10
710 692 9
334 377 10
661 872 3
807 864 5
786 298 10
653 806 4
243 301 2
635 368 1
237 883 2
529 525 9
271 294 3
477 196 6
676 311 2
954 3 4
996 766 1
886 805 9
457 544 2
633 585 4
536 571 9
573 916 8
195 162 9
831 805 9
812 878 1
399 108 8
583 836 1
503 272 1
928 523 8
74 711 2
667 805 10
130 941 4
476 764 4
905 733 10
214 692 8
260 655 8
829 729 10
755 512 6
782 531 1
390 647 7
637 260 9
444 608 4
975 272 1
660 893 6
150 360 9
625 955 7
737 891 2
714 723 8
969 862 2
112 604 3
175 792 3
609 17 4
25 138 5
867 764 5
812 666 4
251 865 3
482 341 5
898 149 8
349 556 4
594 818 5
985 718 9
777 327 1
435 374 2
497 932 9
602 73 5
898 262 10
532 780 2
621 29 9
68 78 1
860 429 5
778 983 9
613 777 9
764 648 6
591 16 1
349 73 8
53 181 5
967 402 4
81 872 6
699 567 2
545 18 6
676 10 6
31 296 4
593 904 9
68 108 4
290 967 3
602 159 5
31 295 3
376 570 8
544 229 5
567 365 7
488 84 3
638 366 10
289 943 9
581 4 2
756 39 10
69 323 8
495 52 1
344 976 10
525 760 8
239 29 5
896 261 10
515 296 4
806 985 8
491 232 3
907 660 4
985 94 5
914 741 9
425 118 9
622 643 10
525 63 3
746 459 8
672 958 10
416 479 7
409 41 6
437 151 7
326 445 3
100 890 6
989 350 7
505 343 1
94 905 5
148 78 2
393 75 7
682 144 3
987 762 7
495 23 9
532 438 9
516 469 8
473 987 2
957 149 5
850 982 8
300 557 4
2 770 5
323 31 6
415 37 7
134 233 2
838 83 9
342 244 6
271 343 6
591 107 4
130 1000 2
639 466 6
681 431 3
135 831 6
915 160 3
411 634 9
604 639 5
307 591 2
744 611 7
170 827 7
772 941 9
30 919 7
526 535 1
454 151 4
183 388 7
377 595 10
218 851 6
805 801 3
222 988 4
395 772 3
676 480 1
269 833 2
108 770 1
194 978 3
428 85 9
418 705 2
919 709 10
772 993 1
412 792 2
209 558 9
235 379 1
440 766 1
217 726 8
997 4 6
359 722 4
590 319 2
865 180 1
611 809 5
47 657 5
340 802 2
878 648 3
421 630 3
607 824 7
555 957 6
723 766 8
882 961 1
262 857 7
547 526 8
615 34 5
713 500 2
973 355 9
874 186 2
601 272 9
16 357 4
176 702 3
157 539 10
229 988 10
185 743 5
891 443 8
363 909 9
665 3 9
697 437 9
297 782 8
124 168 10
385 685 6
314 15 4
637 405 6
430 11 9
148 541 1
960 428 1
310 336 10
652 94 10
464 512 6
78 522 5
948 624 8
767 903 5
125 186 3
625 947 6
701 40 9
187 802 9
908 463 4
178 386 6
999 40 6
643 857 1
285 597 10
378 906 7
11 355 6
57 913 9
980 156 9
939 625 6
482 298 8
557 93 7
659 613 3
203 470 7
351 817 1
151 48 6
458 855 5
267 441 1
694 926 1
884 541 7
801 210 9
274 87 1
739 998 7
928 637 10
248 960 10
858 461 8
426 542 7
519 66 10
981 899 3
129 767 4
710 101 4
913 100 4
393 857 1
327 263 10
557 771 4
978 21 10
714 61 5
165 961 7
673 822 7
44 477 10
990 587 8
338 197 1
271 24 4
739 515 3
949 62 2
192 97 4
35 468 5
360 586 3
432 312 8
694 813 1
212 967 8
1000 833 3
145 258 1
800 602 7
122 812 7
310 366 4
965 868 1
554 402 8
392 430 9
339 509 7
993 481 5
165 99 7
798 140 1
535 835 4
122 398 10
968 800 2
590 983 7
720 248 7
182 960 4
741 158 2
869 558 2
336 196 9
830 5 10
265 488 1
181 391 7
832 492 9
73 86 8
500 487 6
124 33 2
771 968 8
259 649 5
117 432 2
483 906 3
858 853 5
231 213 10
408 679 8
334 774 8
140 557 7
900 125 4
364 721 9
507 548 9
135 491 10
31 843 1
445 970 2
842 646 6
871 73 8
657 281 10
5 979 8
190 930 1
114 758 1
952 705 1
626 534 5
134 405 1
772 56 2
205 204 3
149 900 4
406 788 8
55 46 3
953 919 2
77 944 9
969 911 1
941 792 7
462 659 8
789 200 7
732 337 2
382 734 7
263 444 1
342 550 6
981 888 5
566 71 4
954 391 6
404 169 4
770 960 10
443 757 10
474 188 4
23 147 9
353 192 10
581 375 8
354 150 5
269 465 6
978 39 8
473 313 3
669 354 3
164 526 1
231 584 1
147 771 4
537 346 8
225 726 9
213 432 8
97 744 10
969 413 3
148 1000 9
361 312 2
415 469 7
200 348 7
524 204 3
14 141 5
609 124 9
890 681 1
321 752 4
27 435 5
580 68 3
158 145 3
579 5 1
278 754 5
532 810 5
393 656 4
95 224 3
700 916 9
321 892 8
16 390 1
973 587 3
205 223 4
848 663 1
626 724 1
60 156 1
13 520 8
867 839 5
185 403 8
446 819 2
666 23 1
661 539 9
878 316 3
611 38 5
211 303 5
536 272 4
742 876 2
291 510 4
451 806 8
577 452 7
561 78 9
25 504 4
712 701 4
975 257 4
700 413 3
402 603 2
943 82 2
140 3 8
403 883 2
653 432 8
144 596 7
613 847 9
65 908 8
196 78 10
63 179 9
403 216 2
719 449 8
289 974 3
432 238 4
659 213 7
106 742 3
734 512 7
629 216 3
409 280 1
833 253 10
156 91 4
713 170 8
281 652 9
798 664 3
940 908 9
463 753 3
605 51 7
327 721 9
785 526 6
407 834 9
972 944 9
363 196 1
785 274 8
45 75 6
132 264 3
735 81 2
855 831 7
817 134 5
427 380 1
335 788 9
810 399 10
601 852 4
688 439 4
745 723 2
301 64 5
259 643 9
801 891 6
767 177 5
845 436 2
384 33 3
655 609 2
722 951 3
704 256 10
34 308 7
324 847 2
260 15 4
322 121 7
112 889 5
547 494 1
152 851 2
211 698 2
754 635 1
560 756 9
486 947 4
310 591 6
496 145 7
784 255 3
485 670 7
847 649 4
193 506 1
344 899 9
122 447 4
717 830 10
823 24 6
738 929 2
52 265 1
531 535 7
569 710 5
642 207 2
130 868 6
532 126 10
283 213 8
709 786 7
492 760 8
516 335 10
547 156 10
390 149 3
707 646 6
726 790 7
871 653 5
594 628 10
207 857 5
429 150 9
210 218 2
528 712 2
913 402 6
632 577 4
896 178 4
203 462 3
163 19 3
410 164 5
868 293 2
824 101 6
376 475 9
878 21 1
446 206 8
612 220 1
355 204 1
197 940 6
344 776 7
833 27 2
405 305 9
523 170 7
432 165 5
970 680 7
133 105 4
376 942 6
898 634 6
454 462 5
37 148 8
358 771 10
428 813 6
231 620 1
600 573 8
446 649 9
823 366 3
370 303 1
128 288 6
434 220 3
669 327 1
430 96 6
73 564 9
411 297 7
436 608 8
658 909 4
87 394 5
377 374 10
407 89 1
110 912 1
940 696 6
529 609 4
118 214 4
516 873 10
254 277 10
256 857 7
807 197 2
406 186 3
628 886 2
610 805 3
113 624 5
741 650 2
684 386 5
538 825 2
741 700 4
231 943 6
879 442 10
517 47 2
312 870 8
597 313 8
913 306 2
591 924 8
452 514 5
134 488 8
74 411 8
314 879 2
298 265 3
441 454 8
408 671 5
563 559 8
243 204 8
657 265 4
754 389 5
850 870 3
643 62 5
1000 40 5
99 382 10
595 970 7
493 579 1
849 206 4
515 989 3
794 99 5
661 501 10
781 575 1
528 450 2
266 980 9
214 885 9
474 910 10
548 770 2
980 910 4
899 535 2
949 235 2
790 699 10
537 84 10
726 823 8
691 669 2
389 111 7
770 923 8
757 330 10
499 682 5
590 439 6
825 400 3
966 620 4
69 547 5
485 592 4
260 994 7
435 587 5
485 264 9
757 246 4
708 591 5
586 426 3
481 88 4
724 500 10
516 277 9
540 700 4
843 795 5
130 892 9
473 919 7
969 426 8
163 664 5
198 540 9
849 171 5
585 657 3
406 790 10
832 867 10
731 843 4
831 404 8
202 193 2
892 136 9
946 710 7
670 50 10
762 473 4
134 739 9
778 439 8
135 894 9
693 261 6
327 217 9
786 456 8
495 43 10
203 59 9
931 537 3
142 695 10
975 33 1
879 187 5
866 876 5
349 771 4
706 556 3
398 494 7
180 675 3
100 261 4
552 798 10
798 894 1
962 669 9
537 995 6
255 880 7
519 288 9
550 113 5
463 210 10
481 953 6
400 973 7
957 373 8
881 487 5
980 140 6
864 32 3
405 612 7
303 449 9
631 338 7
547 889 10
437 103 5
675 82 9
817 786 6
7 514 8
556 729 3
659 741 3
62 35 3
199 580 4
525 343 3
5 882 3
708 523 3
355 264 8
285 199 3
244 796 5
54 402 3
767 383 6
484 52 1
334 948 10
210 504 7
175 196 2
540 464 4
361 206 3
888 518 5
687 479 10
991 391 6
566 556 4
381 91 10
444 799 1
667 677 10
917 726 6
317 817 2
730 527 4
836 763 5
703 844 5
384 876 1
160 758 8
142 467 4
70 842 8
231 905 10
46 916 6
105 999 4
230 377 6
911 466 1
720 611 6
648 516 8
157 386 6
728 660 3
31 523 4
572 19 8
647 942 6
203 500 5
857 5 8
582 882 8
464 925 5
810 71 2
218 312 9
769 13 8
220 21 5
855 585 10
415 487 6
472 1000 4
792 174 2
886 909 10
67 793 8
592 306 6
633 717 5
900 556 8
128 644 7
54 671 3
363 258 10
131 666 10
20 994 8
984 539 5
19 774 1
719 123 2
229 102 6
761 814 7
986 849 10
251 556 10
943 374 2
675 726 6
687 830 9
43 135 4
520 240 9
867 738 8
661 439 10
234 512 10
68 269 7
4 331 4
427 302 9
962 255 8
940 793 7
214 274 5
266 771 6
861 359 2
109 310 4
974 347 4
675 589 1
218 968 6
409 393 6
568 957 6
221 793 6
916 79 1
757 749 5
20 981 5
888 543 8
871 912 9
737 903 2
720 425 4
941 914 2
504 517 5
25 305 3
379 933 5
626 379 8
159 664 7
95 419 5
852 864 8
837 386 1
60 25 7
625 770 5
882 1000 7
17 369 1
935 639 5
184 214 10
692 943 5
618 2 8
728 999 2
782 329 6
697 855 7
582 390 10
563 669 10
318 232 7
126 463 5
184 346 9
559 805 7
621 951 4
370 194 3
950 539 6
126 633 2
821 222 6
409 55 10
857 449 9
52 562 3
299 229 3
181 201 5
141 541 8
896 100 2
437 217 2
58 673 1
853 681 2
810 430 9
49 662 10
744 888 5
412 910 9
849 165 5
856 797 9
205 940 6
381 749 4
529 824 1
578 321 9
700 385 1
748 265 5
240 68 7
736 144 6
887 35 10
392 125 3
743 471 4
818 327 10
778 890 2
617 673 7
655 401 3
548 485 7
169 180 7
70 624 2
660 828 5
236 685 5
948 688 3
335 195 9
86 363 5
451 645 9
189 645 4
654 558 7
710 245 1
413 94 10
790 581 6
227 157 6
496 312 5
445 880 1
788 282 3
723 826 3
724 970 8
168 102 10
401 188 6
486 621 2
429 607 2
758 292 10
813 789 3
67 7 3
878 100 10
199 131 5
421 138 5
357 964 8
113 621 7
775 238 5
742 253 7
150 423 2
227 543 4
462 158 7
520 502 8
723 120 3
976 948 8
749 279 10
538 604 5
339 777 1
256 394 6
128 823 2
317 284 6
198 580 10
915 182 1
865 756 5
369 177 3
830 384 6
982 183 3
402 269 4
296 979 9
131 726 6
175 193 10
120 987 1
190 573 4
12 810 1
166 674 5
181 924 8
215 303 10
912 555 7
798 791 7
812 825 2
228 828 1
499 276 10
330 538 9
18 4 1
562 243 7
370 613 3
884 189 10
177 742 7
623 701 5
496 432 4
809 759 6
875 579 9
880 987 10
796 836 3
815 965 1
343 290 4
399 170 7
456 71 7
260 545 4
841 313 5
518 8 10
216 763 2
193 711 3
727 366 3
679 147 9
749 175 4
405 773 8
343 3 5
103 931 4
499 834 5
269 768 3
941 998 7
387 935 6
205 554 6
906 207 8
305 301 9
707 103 4
971 187 6
263 501 8
85 808 1
354 772 8
466 627 10
439 251 1
560 389 3
428 690 7
372 849 8
267 746 8
590 914 5
182 998 1
272 231 5
969 427 3
476 684 7
629 407 8
118 415 4
588 90 9
407 920 2
727 721 6
633 589 3
669 303 1
528 365 7
664 554 2
973 413 7
557 394 5
154 58 4
833 701 5
855 909 6
821 772 10
33 963 9
972 79 2
960 30 9
40 723 4
619 62 8
972 899 8
881 633 8
989 660 4
607 492 5
720 62 9
102 715 5
393 445 2
666 195 1
738 851 10
649 998 10
807 828 4
743 862 9
721 4 7
562 350 2
716 217 1
700 141 1
49 561 3
636 199 10
454 159 10
747 917 2
567 851 7
321 850 1
183 271 8
244 978 10
280 121 1
95 865 6
135 605 3
938 902 7
874 611 4
733 864 8
168 928 2
906 903 9
586 117 6
399 514 1
821 758 7
884 116 2
400 278 5
171 625 2
99 221 7
733 687 7
121 727 8
773 657 5
896 142 6
563 50 2
780 162 5
668 138 3
109 233 9
722 775 7
136 661 9
323 612 10
246 419 9
236 90 8
617 766 2
91 470 9
889 779 5
76 900 3
762 163 3
358 380 1
148 952 4
771 935 6
715 264 5
817 472 10
373 470 3
873 699 1
871 31 8
87 306 3
21 773 6
269 146 7
689 181 7
148 867 4
917 546 1
21 905 1
405 538 8
9 432 9
894 5 4
400 677 1
683 563 1
884 657 7
754 536 3
436 676 3
78 853 2
882 568 7
880 551 1
905 373 6
699 484 10
464 21 10
938 424 5
548 739 2
763 639 7
162 616 4
876 509 4
60 839 1
139 689 9
234 809 9
139 455 3
292 901 1
56 240 1
315 996 4
772 870 2
141 505 9
4 707 3
604 115 10
120 599 2
273 794 2
739 835 9
826 274 6
132 396 1
708 592 7
18 117 4
425 41 10
37 198 6
809 955 4
576 582 3
423 940 3
473 119 9
29 441 6
720 725 4
146 466 7
724 495 4
488 122 5
966 163 10
650 38 6
26 668 1
118 712 6
372 195 1
270 729 9
135 975 3
475 309 5
96 420 2
773 811 8
857 578 2
753 362 8
536 31 6
549 375 7
734 334 6
230 733 10
321 565 4
212 472 6
362 635 1
589 109 8
915 994 10
386 811 3
512 88 3
420 668 7
227 849 2
387 780 7
326 754 3
150 754 8
787 474 10
43 646 4
543 225 2
28 481 10
948 628 1
79 927 2
135 918 4
141 490 5
145 96 4
326 268 9
439 696 8
272 906 2
63 490 1
780 445 7
368 331 6
84 377 2
928 291 3
435 933 10
169 493 3
189 73 3
312 760 5
559 491 7
826 788 2
672 768 9
175 653 9
448 76 7
245 429 1
801 576 4
852 587 8
144 354 8
543 863 4
991 525 3
402 716 4
263 291 5
771 274 5
728 411 5
427 614 10
296 711 10
885 49 5
12 739 8
547 476 5
634 298 9
363 162 7
864 104 9
867 382 4
483 511 2
22 7 4
85 31 4
257 964 7
996 241 1
887 861 5
563 379 5
134 673 4
101 321 7
872 595 5
853 76 5
411 425 2
894 736 8
214 881 4
437 17 2
155 869 7
919 68 1
197 776 4
372 911 10
669 130 1
587 439 10
780 207 7
420 815 10
815 413 2
25 996 6
708 993 8
710 547 3
537 640 1
751 79 6
449 123 1
751 349 6
840 601 9
652 988 4
824 58 10
576 668 1
316 105 3
309 536 10
34 503 2
618 713 10
372 556 9
82 280 7
793 898 6
40 801 1
800 179 7
369 484 10
716 414 5
53 976 9
725 800 4
544 146 1
541 725 5
942 857 7
705 397 9
841 783 1
311 916 6
792 317 9
218 623 8
65 612 3
619 125 4
804 420 10
43 311 3
960 370 6
332 193 2
647 166 4
371 613 2
283 134 1
933 748 10
933 401 6
234 675 9
708 357 5
751 504 6
802 607 3
258 956 9
412 87 5
701 499 6
724 818 10
386 964 5
911 526 10
149 83 1
374 195 4
418 764 3
831 465 7
226 473 5
764 889 9
477 91 1
963 870 2
467 861 3
385 369 9
262 867 6
459 142 7
614 925 7
572 288 2
762 919 1
769 739 1
45 281 9
322 474 10
367 147 5
498 290 8
808 801 9
446 855 8
650 929 4
38 875 2
19 218 8
580 579 9
219 571 8
654 189 2
717 398 3
739 976 6
643 574 9
849 517 8
9 313 6
241 59 1
539 620 4
143 370 3
769 848 1
232 740 10
1 938 6
853 86 7
519 783 1
972 399 8
307 90 1
782 586 10
453 209 5
95 241 7
755 252 9
415 341 7
182 400 5
928 615 4
779 840 7
136 951 7
876 66 6
535 937 9
651 481 8
595 179 6
746 489 1
626 15 7
223 325 4
997 865 8
843 925 7
268 734 3
294 152 4
572 805 4
244 384 5
550 153 4
585 813 4
132 525 4
678 340 4
867 6 5
345 662 9
802 415 10
57 542 4
296 101 2
815 684 4
659 877 3
652 387 10
475 321 4
520 745 4
572 329 8
531 39 8
260 541 3
313 493 6
779 169 5
491 865 8
271 566 3
883 517 1
859 400 3
755 531 6
281 62 1
434 354 7
557 549 6
653 99 4
120 528 3
476 725 2
743 954 3
529 44 4
117 196 4
158 175 8
886 927 9
780 398 3
275 864 5
212 20 5
58 10 9
891 260 8
305 584 1
268 618 2
434 690 3
881 289 5
124 173 9
632 811 7
53 574 9
72 809 4
218 740 2
69 686 10
314 557 10
523 927 6
949 858 2
944 426 2
813 27 2
505 396 9
592 894 6
824 567 4
900 632 3
495 105 1
288 10 4
303 622 10
788 60 3
807 696 9
199 350 1
579 232 5
891 298 6
646 599 9
94 758 7
91 785 5
855 247 2
176 301 7
640 787 3
133 724 7
513 462 9
695 821 9
681 27 5
520 178 8
197 412 7
879 726 7
297 752 1
488 128 9
149 896 4
439 377 7
392 55 4
888 940 6
379 783 5
85 364 5
363 464 7
24 850 8
677 308 2
3 735 5
616 898 10
161 724 2
265 637 5
394 643 1
607 402 1
137 599 2
332 458 10
463 472 9
697 720 7
12 715 1
722 979 10
72 563 8
627 525 5
739 887 5
695 460 9
63 409 5
148 325 3
637 626 8
609 65 6
545 796 4
467 221 6
927 652 2
110 629 2
268 352 7
565 915 1
785 665 3
2 223 4
399 96 6
352 228 2
427 103 2
258 820 7
147 941 2
492 558 2
547 996 7
359 41 7
113 640 4
10 707 3
417 333 3
69 849 2
645 691 6
423 920 8
602 164 8
79 508 5
833 939 2
716 264 3
984 181 10
848 629 10
651 720 7
714 62 2
549 851 6
21 920 7
289 884 2
784 473 5
147 253 8
576 308 6
500 763 2
742 762 7
729 998 7
4 339 9
97 582 1
24 778 9
789 761 9
889 207 1
399 973 8
241 573 7
913 406 4
972 748 7
856 857 9
243 22 1
783 911 9
596 13 7
3 971 5
204 322 6
990 996 1
207 459 4
560 974 9
469 977 6
707 124 7
485 398 10
955 363 2
310 888 1
120 428 4
943 852 4
60 12 4
817 90 3
691 366 6
21 872 2
820 53 4
993 58 3
340 364 7
345 767 8
670 98 4
256 909 2
913 407 1
973 802 2
638 571 6
916 902 3
223 701 3
655 739 1
363 939 6
258 785 3
10 607 8
797 197 2
568 716 7
65 498 6
741 583 1
694 477 9
196 168 10
831 767 6
102 215 4
305 812 1
745 147 3
658 208 10
309 43 1
272 670 9
883 107 3
854 30 7
602 850 3
592 562 1
440 163 4
40 774 2
777 249 5
312 105 4
664 829 5
665 66 5
777 762 3
232 682 4
696 788 8
670 85 9
794 11 6
236 355 7
153 692 8
872 551 10
315 56 1
430 440 1
423 261 8
743 578 3
688 68 1
923 443 5
245 335 9
474 116 2
285 291 1
613 971 6
957 113 5
971 774 5
807 499 7
595 365 4
748 232 10
764 691 10
631 640 10
682 732 6
26 279 9
803 488 2
395 680 7
634 195 7
942 351 5
414 679 6
542 564 2
239 255 1
16 542 8
671 539 3
327 805 8
992 478 3
37 97 6
800 749 9
386 144 6
555 291 1
258 219 5
780 886 8
742 770 5
965 565 1
73 194 9
437 522 5
5 302 5
886 619 4
46 878 1
60 291 1
834 523 1
625 522 6
414 930 10
320 717 9
542 550 3
826 709 9
760 143 8
178 584 7
201 920 6
755 71 2
301 742 5
801 14 10
937 730 3
885 932 4
153 744 2
613 480 6
10 244 2
342 389 8
315 576 2
625 147 10
958 112 9
131 177 7
261 565 6
698 345 7
980 883 3
135 506 6
242 669 2
460 725 5
877 221 2
454 2 10
238 394 10
970 728 9
161 136 10
54 682 9
507 602 9
183 356 1
344 246 5
265 544 8
504 374 3
85 53 3
603 450 10
46 861 5
745 382 7
496 869 1
562 96 3
545 11 1
339 844 4
983 541 9
26 146 1
284 9 7
340 75 5
12 469 1
341 21 10
950 765 5
902 838 6
572 561 6
809 993 9
505 234 7
679 616 6
570 946 7
169 91 6
